$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run --data-dir /dev/shm/tf_full_03cca0a_cpu23_20260703_072020_data --expect-device cuda --no-preflight
device=cuda  params=4,176,422  head=fmpe  run_dir=/dev/shm/tf_full_03cca0a_cpu23_20260703_072020_run
step   9900/60000 | total 0.7003 | post 0.6858 | det 0.0145 | 5671 lc/s | wait 5% | eta 37m41s
  [val] post 0.7768 det 0.0896 acc 0.964 auc 0.995
step  10000/60000 | total 0.7190 | post 0.6637 | det 0.0553 | 302 lc/s | wait 0% | eta 11h47m23s
step  10100/60000 | total 0.8057 | post 0.7335 | det 0.0722 | 5734 lc/s | wait 5% | eta 37m07s
step  10200/60000 | total 0.7936 | post 0.7553 | det 0.0384 | 5639 lc/s | wait 5% | eta 37m40s
step  10300/60000 | total 0.6908 | post 0.6563 | det 0.0344 | 5675 lc/s | wait 5% | eta 37m21s
step  10400/60000 | total 0.7568 | post 0.7008 | det 0.0559 | 5544 lc/s | wait 5% | eta 38m10s
step  10500/60000 | total 0.7698 | post 0.7376 | det 0.0322 | 5550 lc/s | wait 5% | eta 38m03s
step  10600/60000 | total 0.7573 | post 0.7187 | det 0.0386 | 5634 lc/s | wait 5% | eta 37m24s
step  10700/60000 | total 0.7587 | post 0.7251 | det 0.0335 | 5713 lc/s | wait 5% | eta 36m49s
step  10800/60000 | total 0.7413 | post 0.7039 | det 0.0374 | 5562 lc/s | wait 5% | eta 37m44s
step  10900/60000 | total 0.7186 | post 0.6785 | det 0.0402 | 5636 lc/s | wait 5% | eta 37m10s
step  11000/60000 | total 0.7208 | post 0.6978 | det 0.0230 | 5626 lc/s | wait 5% | eta 37m09s
step  11100/60000 | total 0.7746 | post 0.7182 | det 0.0564 | 5512 lc/s | wait 5% | eta 37m51s
step  11200/60000 | total 0.7323 | post 0.6980 | det 0.0343 | 5628 lc/s | wait 5% | eta 36m59s
step  11300/60000 | total 0.7898 | post 0.7478 | det 0.0420 | 5649 lc/s | wait 5% | eta 36m47s
step  11400/60000 | total 0.7945 | post 0.7601 | det 0.0344 | 5551 lc/s | wait 5% | eta 37m21s
step  11500/60000 | total 0.7538 | post 0.7215 | det 0.0323 | 5504 lc/s | wait 5% | eta 37m35s
step  11600/60000 | total 0.7969 | post 0.7625 | det 0.0344 | 5731 lc/s | wait 5% | eta 36m01s
step  11700/60000 | total 0.7412 | post 0.6296 | det 0.1116 | 5518 lc/s | wait 5% | eta 37m20s
step  11800/60000 | total 0.8997 | post 0.8400 | det 0.0597 | 5469 lc/s | wait 5% | eta 37m36s
step  11900/60000 | total 0.7214 | post 0.6868 | det 0.0346 | 5687 lc/s | wait 5% | eta 36m05s
  [val] post 0.8126 det 0.0947 acc 0.963 auc 0.994
step  12000/60000 | total 0.6760 | post 0.6310 | det 0.0451 | 307 lc/s | wait 0% | eta 11h08m05s
step  12100/60000 | total 0.6809 | post 0.6280 | det 0.0529 | 5663 lc/s | wait 5% | eta 36m05s
step  12200/60000 | total 0.7417 | post 0.7027 | det 0.0390 | 5465 lc/s | wait 5% | eta 37m19s
step  12300/60000 | total 0.7559 | post 0.7232 | det 0.0327 | 5599 lc/s | wait 5% | eta 36m20s
step  12400/60000 | total 0.8134 | post 0.7812 | det 0.0322 | 5752 lc/s | wait 5% | eta 35m18s
step  12500/60000 | total 0.7143 | post 0.6949 | det 0.0195 | 5595 lc/s | wait 5% | eta 36m13s
step  12600/60000 | total 0.7002 | post 0.6783 | det 0.0219 | 5565 lc/s | wait 5% | eta 36m20s
step  12700/60000 | total 0.8214 | post 0.7740 | det 0.0474 | 5561 lc/s | wait 5% | eta 36m17s
step  12800/60000 | total 0.7248 | post 0.6796 | det 0.0452 | 5571 lc/s | wait 5% | eta 36m08s
step  12900/60000 | total 0.7598 | post 0.7472 | det 0.0126 | 5532 lc/s | wait 5% | eta 36m19s
step  13000/60000 | total 0.6720 | post 0.6405 | det 0.0315 | 5650 lc/s | wait 5% | eta 35m29s
step  13100/60000 | total 0.8113 | post 0.7814 | det 0.0298 | 5664 lc/s | wait 5% | eta 35m19s
step  13200/60000 | total 0.6778 | post 0.6517 | det 0.0261 | 5642 lc/s | wait 5% | eta 35m23s
step  13300/60000 | total 0.7801 | post 0.7168 | det 0.0633 | 5687 lc/s | wait 5% | eta 35m02s
step  13400/60000 | total 0.6808 | post 0.6683 | det 0.0125 | 5574 lc/s | wait 5% | eta 35m40s
step  13500/60000 | total 0.6760 | post 0.6510 | det 0.0250 | 5609 lc/s | wait 5% | eta 35m22s
step  13600/60000 | total 0.6584 | post 0.6502 | det 0.0082 | 5526 lc/s | wait 5% | eta 35m49s
step  13700/60000 | total 0.7963 | post 0.7612 | det 0.0351 | 5696 lc/s | wait 5% | eta 34m40s
step  13800/60000 | total 0.7079 | post 0.6859 | det 0.0219 | 5723 lc/s | wait 5% | eta 34m26s
step  13900/60000 | total 0.7381 | post 0.7295 | det 0.0086 | 5619 lc/s | wait 5% | eta 35m00s
  [val] post 0.7969 det 0.0806 acc 0.971 auc 0.996
step  14000/60000 | total 0.6818 | post 0.6621 | det 0.0197 | 300 lc/s | wait 0% | eta 10h53m49s
step  14100/60000 | total 0.7235 | post 0.6704 | det 0.0531 | 5519 lc/s | wait 5% | eta 35m29s
step  14200/60000 | total 0.7798 | post 0.7452 | det 0.0346 | 5776 lc/s | wait 5% | eta 33m49s
step  14300/60000 | total 0.7425 | post 0.6897 | det 0.0528 | 5793 lc/s | wait 5% | eta 33m39s
step  14400/60000 | total 0.6871 | post 0.6569 | det 0.0302 | 5658 lc/s | wait 5% | eta 34m23s
step  14500/60000 | total 0.7416 | post 0.7186 | det 0.0230 | 5538 lc/s | wait 5% | eta 35m03s
step  14600/60000 | total 0.7036 | post 0.6434 | det 0.0602 | 5578 lc/s | wait 5% | eta 34m43s
step  14700/60000 | total 0.6586 | post 0.6154 | det 0.0433 | 5349 lc/s | wait 5% | eta 36m07s
step  14800/60000 | total 0.7311 | post 0.6900 | det 0.0411 | 5615 lc/s | wait 5% | eta 34m20s
step  14900/60000 | total 0.6966 | post 0.6563 | det 0.0403 | 5724 lc/s | wait 5% | eta 33m37s
step  15000/60000 | total 0.6331 | post 0.6245 | det 0.0086 | 5652 lc/s | wait 5% | eta 33m58s
step  15100/60000 | total 0.7213 | post 0.6877 | det 0.0336 | 5395 lc/s | wait 5% | eta 35m30s
step  15200/60000 | total 0.7721 | post 0.7393 | det 0.0328 | 5550 lc/s | wait 5% | eta 34m26s
step  15300/60000 | total 0.7160 | post 0.6699 | det 0.0461 | 5518 lc/s | wait 5% | eta 34m33s
step  15400/60000 | total 0.8486 | post 0.8055 | det 0.0432 | 5647 lc/s | wait 5% | eta 33m41s
step  15500/60000 | total 0.6603 | post 0.6289 | det 0.0314 | 5654 lc/s | wait 5% | eta 33m34s
step  15600/60000 | total 0.6418 | post 0.6184 | det 0.0234 | 5559 lc/s | wait 5% | eta 34m04s
step  15700/60000 | total 0.7174 | post 0.6860 | det 0.0314 | 5534 lc/s | wait 5% | eta 34m09s
step  15800/60000 | total 0.6827 | post 0.6574 | det 0.0253 | 5621 lc/s | wait 5% | eta 33m33s
step  15900/60000 | total 0.7006 | post 0.6744 | det 0.0262 | 5630 lc/s | wait 5% | eta 33m25s
  [val] post 0.7567 det 0.0754 acc 0.975 auc 0.996
