
== attempt 1784488607.786140 ==
$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run --data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/data --validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/posterior_validation --detection-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_train --detection-validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_validation --expect-device cuda --no-preflight --seed 0 --noise-lib /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/noise_splits/noise_validation.npz
device=cuda  params=4,176,422  head=fmpe  run_dir=/workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run
step   7300/60000 | total 1.1393 | post 0.9562 | det 0.1831 | 2134 lc/s | wait 5% | eta 1h45m21s
step   7400/60000 | total 1.2272 | post 1.0170 | det 0.2103 | 2133 lc/s | wait 5% | eta 1h45m13s
step   7500/60000 | total 1.2242 | post 1.0292 | det 0.1950 | 2131 lc/s | wait 5% | eta 1h45m06s
step   7600/60000 | total 1.2994 | post 1.0987 | det 0.2007 | 2134 lc/s | wait 5% | eta 1h44m45s
step   7700/60000 | total 1.2662 | post 1.0995 | det 0.1667 | 2130 lc/s | wait 5% | eta 1h44m47s
step   7800/60000 | total 1.0975 | post 0.9135 | det 0.1840 | 2124 lc/s | wait 5% | eta 1h44m52s
step   7900/60000 | total 1.0185 | post 0.8123 | det 0.2063 | 2131 lc/s | wait 5% | eta 1h44m20s
  [val] post 0.9318 det 0.4439 acc 0.829 auc 0.940
step   8000/60000 | total 1.0453 | post 0.8316 | det 0.2137 | 1956 lc/s | wait 4% | eta 1h53m25s
step   8100/60000 | total 1.2483 | post 1.0382 | det 0.2101 | 2062 lc/s | wait 5% | eta 1h47m24s
step   8200/60000 | total 1.1971 | post 0.9943 | det 0.2028 | 2133 lc/s | wait 5% | eta 1h43m36s
step   8300/60000 | total 1.0663 | post 0.8628 | det 0.2034 | 2135 lc/s | wait 5% | eta 1h43m19s
step   8400/60000 | total 1.0213 | post 0.8285 | det 0.1927 | 2123 lc/s | wait 5% | eta 1h43m41s
step   8500/60000 | total 1.2039 | post 0.9900 | det 0.2139 | 2136 lc/s | wait 5% | eta 1h42m53s
step   8600/60000 | total 1.1687 | post 0.9870 | det 0.1817 | 2125 lc/s | wait 5% | eta 1h43m11s
step   8700/60000 | total 1.0495 | post 0.8261 | det 0.2234 | 2126 lc/s | wait 5% | eta 1h42m55s
step   8800/60000 | total 1.2504 | post 1.0402 | det 0.2103 | 2118 lc/s | wait 5% | eta 1h43m08s
step   8900/60000 | total 1.2219 | post 0.9697 | det 0.2522 | 2031 lc/s | wait 4% | eta 1h47m20s
step   9000/60000 | total 1.1168 | post 0.9663 | det 0.1505 | 2124 lc/s | wait 5% | eta 1h42m27s
step   9100/60000 | total 1.1457 | post 0.9895 | det 0.1562 | 2134 lc/s | wait 5% | eta 1h41m46s
step   9200/60000 | total 1.3287 | post 1.1200 | det 0.2087 | 1977 lc/s | wait 5% | eta 1h49m36s
step   9300/60000 | total 1.0709 | post 0.8453 | det 0.2256 | 2097 lc/s | wait 5% | eta 1h43m10s
step   9400/60000 | total 1.2974 | post 1.0811 | det 0.2163 | 2134 lc/s | wait 5% | eta 1h41m09s
step   9500/60000 | total 1.3083 | post 1.0981 | det 0.2102 | 2134 lc/s | wait 5% | eta 1h40m58s
step   9600/60000 | total 1.3486 | post 1.1403 | det 0.2083 | 2134 lc/s | wait 5% | eta 1h40m45s
step   9700/60000 | total 1.0672 | post 0.8402 | det 0.2270 | 2134 lc/s | wait 5% | eta 1h40m34s
step   9800/60000 | total 1.3773 | post 1.1657 | det 0.2116 | 2130 lc/s | wait 5% | eta 1h40m32s
step   9900/60000 | total 1.0807 | post 0.9034 | det 0.1773 | 2134 lc/s | wait 5% | eta 1h40m10s
  [val] post 0.9718 det 0.4193 acc 0.838 auc 0.940
step  10000/60000 | total 1.1237 | post 0.8781 | det 0.2456 | 1980 lc/s | wait 4% | eta 1h47m46s
step  10100/60000 | total 1.3410 | post 1.1336 | det 0.2074 | 2032 lc/s | wait 5% | eta 1h44m47s
step  10200/60000 | total 1.2387 | post 1.0219 | det 0.2169 | 2148 lc/s | wait 5% | eta 1h38m55s
step  10300/60000 | total 0.9940 | post 0.7963 | det 0.1977 | 2099 lc/s | wait 5% | eta 1h41m01s
step  10400/60000 | total 1.1319 | post 0.9716 | det 0.1604 | 2155 lc/s | wait 5% | eta 1h38m13s
step  10500/60000 | total 1.2633 | post 1.0236 | det 0.2398 | 2147 lc/s | wait 5% | eta 1h38m23s
step  10600/60000 | total 1.0694 | post 0.8580 | det 0.2115 | 2134 lc/s | wait 5% | eta 1h38m45s
step  10700/60000 | total 1.2186 | post 0.9749 | det 0.2438 | 2134 lc/s | wait 5% | eta 1h38m34s
step  10800/60000 | total 1.2034 | post 1.0242 | det 0.1792 | 2134 lc/s | wait 5% | eta 1h38m22s
step  10900/60000 | total 1.1293 | post 0.9486 | det 0.1807 | 2139 lc/s | wait 5% | eta 1h37m56s
step  11000/60000 | total 1.1676 | post 0.9669 | det 0.2007 | 2147 lc/s | wait 5% | eta 1h37m22s
step  11100/60000 | total 1.1289 | post 0.9221 | det 0.2068 | 2134 lc/s | wait 5% | eta 1h37m45s
step  11200/60000 | total 1.2524 | post 0.9618 | det 0.2906 | 2134 lc/s | wait 5% | eta 1h37m34s
step  11300/60000 | total 1.0011 | post 0.7799 | det 0.2212 | 2134 lc/s | wait 5% | eta 1h37m21s
step  11400/60000 | total 1.1005 | post 0.8181 | det 0.2824 | 2134 lc/s | wait 5% | eta 1h37m09s
step  11500/60000 | total 1.2491 | post 1.0292 | det 0.2200 | 2134 lc/s | wait 5% | eta 1h36m59s
step  11600/60000 | total 1.1810 | post 0.9539 | det 0.2271 | 2103 lc/s | wait 5% | eta 1h38m11s
step  11700/60000 | total 1.0433 | post 0.7792 | det 0.2641 | 2154 lc/s | wait 5% | eta 1h35m40s
step  11800/60000 | total 1.2580 | post 1.0480 | det 0.2100 | 2134 lc/s | wait 5% | eta 1h36m22s
step  11900/60000 | total 1.1233 | post 0.9206 | det 0.2027 | 2134 lc/s | wait 5% | eta 1h36m10s
  [val] post 0.9613 det 0.6918 acc 0.816 auc 0.942
step  12000/60000 | total 1.4281 | post 1.1930 | det 0.2351 | 1976 lc/s | wait 4% | eta 1h43m39s
step  12100/60000 | total 0.9710 | post 0.7799 | det 0.1911 | 2044 lc/s | wait 5% | eta 1h40m00s
step  12200/60000 | total 1.2501 | post 1.0156 | det 0.2344 | 2141 lc/s | wait 5% | eta 1h35m15s
step  12300/60000 | total 1.3049 | post 1.0772 | det 0.2277 | 2116 lc/s | wait 5% | eta 1h36m11s
step  12400/60000 | total 1.0704 | post 0.8736 | det 0.1969 | 2004 lc/s | wait 5% | eta 1h41m20s
step  12500/60000 | total 0.9714 | post 0.7862 | det 0.1852 | 2134 lc/s | wait 5% | eta 1h34m58s
step  12600/60000 | total 1.0930 | post 0.8861 | det 0.2069 | 2134 lc/s | wait 5% | eta 1h34m46s
step  12700/60000 | total 1.0673 | post 0.8961 | det 0.1712 | 2134 lc/s | wait 5% | eta 1h34m34s
